description,emoji
smile,:smile:
grin,:grin:
laugh,:laughing:
teary,:face_holding_back_tears:
nervous,:sweat_smile:
joy,:joy:
funny,:rofl:
tear,:smiling_face_with_tear:
blush,:blush:
innocent,:innocent:
wink,:wink:
relieve,:relieved:
beautiful,:heart_eyes:
loved,:smiling_face_with_3_hearts:
kiss,:kissing:
yum,:yum:
silly,:zany_face:
serious,:face_with_raised_eyebrow:
smart,:nerd:
cool,:sunglasses:
fake,:disguised_face:
amazing,:star_struck:
party,:partying_face:
sexy,:smirk:
annoy,:unamused:
depressed,:disappointed:
worry,:worried:
confusion,:confused:
sad,:slight_frown:
beg,:pleading_face:
cry,:sob:
mad,:angry:
rage,:rage:
hot,:hot_face:
cold,:cold_face:
scream,:scream:
scared,:fearful:
hug,:hugging:
think,:thinking:
salute,:saluting_face:
quiet,:shushing_face:
melt,:melting_face:
lie,:liar:
whatever,:rolling_eyes:
yawn,:yawning_face:
sleep,:sleeping:
drool,:drool:
exhaust,:face_exhaling:
dizzy,:face_with_spiral_eyes:
secrete,:zipper_mouth:
drunk,:woozy_face:
sick,:sick:
vomit,:face_vomiting:
sneeze,:sneeze:
hurt,:head_bandage:
rich,:money_mouth:
cowboy,:cowboy:
bad,:smiling_imp:
clown,:clown:
poop,:poop:
ghost,:ghost:
dead,:skull:
alien,:alien:
ai,:robot:
pumpkin,:jack_o_lantern:
love,:heart_hands:
praise,:raised_hands:
clap,:clap:
handshake,:handshake:
ok,:thumbsup:
no,:thumbsdown:
fight,:punch:
hope,:fingers_crossed:
peace,:v:
metal,:metal:
small,:pinching_hand:
hand,:raised_hand:
yolo,:call_me:
hello,:wave:
write,:writing_hand:
pray,:pray:
point,:index_pointing_at_the_viewer:
feet,:foot:
leg,:leg:
strong,:muscle:
lipstick,:lipstick:
mouth,:lips:
teeth,:tooth:
tongue,:tongue:
ear,:ear:
hearing,:ear_with_hearing_aid:
nose,:nose:
eye,:eye:
look,:eyes:
lung,:lungs:
brain,:brain:
speak,:speaking_head:
baby,:baby:
kid,:child:
girl,:girl:
boy,:boy:
adult,:adult:
man,:man:
woman,:woman:
bald,:person_bald:
beared,:bearded_person:
old,:older_adult:
headscarf,:woman_with_headscarf:
turban,:person_wearing_turban:
police,:cop:
construction,:construction_worker:
guard,:guard:
spy,:spy:
doctor,:health_worker:
farm,:farmer:
cook,:cook:
student,:student:
singer,:singer:
teacher,:teacher:
factory,:factory_worker:
programmer,:technologist:
job,:office_worker:
mechanic,:mechanic:
scientist,:scientist:
artist,:artist:
firefighter,:firefighter:
pilot,:pilot:
astronaut,:astronaut:
judge,:judge:
bride,:bride_with_veil:
tuxedo,:man_in_tuxedo:
princess,:princess:
prince,:prince:
hero,:superhero:
enemy,:supervillain:
ninja,:ninja:
claus,:mrs_claus:
santa,:santa:
witch,:woman_mage:
wizard,:man_mage:
elf,:elf:
troll,:troll:
