embed,epoch,batch,learning_rate,dropout,recurrent_dropout,loss,accuracy,test_mae,tain_mae,train_mae
500,15,25,0.1,0.2,0.2,12.037775039672852,0.02589641511440277,0.0027803475968539715,,0.0018429438350722194
1000,15,25,0.1,0.2,0.2,17.006921768188477,0.017928287386894226,0.002792137209326029,,0.0016725530149415135
2000,15,25,0.1,0.2,0.2,18.952260971069336,0.005976095795631409,0.0028219115920364857,,0.001636900589801371
3000,15,25,0.1,0.2,0.2,19.476459503173828,0.013944223523139954,0.002796465065330267,,0.0016695617232471704
4000,15,25,0.1,0.2,0.2,20.868619918823242,0.013944223523139954,0.0028025396168231964,,0.001783557701855898
5000,15,25,0.1,0.2,0.2,26.687414169311523,0.007968127727508545,0.0028141236398369074,,0.0015348150627687573
500,30,25,0.1,0.2,0.2,21.05841827392578,0.013944223523139954,0.0027960992883890867,,0.0011966871097683907
1000,30,25,0.1,0.2,0.2,29.066307067871094,0.005976095795631409,0.002816037507727742,,0.0010433702263981104
2000,30,25,0.1,0.2,0.2,38.02756118774414,0.011952191591262817,0.0028005673084408045,,0.0010095919715240598
3000,30,25,0.1,0.2,0.2,34.686588287353516,0.0219123512506485,0.0027698101475834846,,0.0008962649735622108
4000,30,25,0.1,0.2,0.2,30.68520736694336,0.007968127727508545,0.002815528539940715,,0.0010699530830606818
5000,30,25,0.1,0.2,0.2,35.32814025878906,0.011952191591262817,0.002802538452669978,,0.0008556085522286594
500,15,50,0.1,0.2,0.2,9.607949256896973,0.013944223523139954,0.0028023479972034693,,0.0021157306618988514
1000,15,50,0.1,0.2,0.2,10.2798490524292,0.011952191591262817,0.0028079019393771887,,0.0017933105118572712
2000,15,50,0.1,0.2,0.2,12.594151496887207,0.011952191591262817,0.0028044835198670626,,0.001912232139147818
3000,15,50,0.1,0.2,0.2,15.425348281860352,0.009960159659385681,0.002808562945574522,,0.0017229922814294696
4000,15,50,0.1,0.2,0.2,14.453278541564941,0.009960159659385681,0.0028146712575107813,,0.0019467049278318882
5000,15,50,0.1,0.2,0.2,14.692009925842285,0.007968127727508545,0.0028150221332907677,,0.0018731141462922096
500,30,50,0.1,0.2,0.2,17.78863525390625,0.023904383182525635,0.0027677789330482483,,0.0010698838159441948
1000,30,50,0.1,0.2,0.2,20.623706817626953,0.013944223523139954,0.0027991991955786943,,0.00117032031994313
2000,30,50,0.1,0.2,0.2,20.788301467895508,0.009960159659385681,0.0028125722892582417,,0.0012412675423547626
3000,30,50,0.1,0.2,0.2,22.192956924438477,0.01593625545501709,0.0027868617326021194,,0.0012431719806045294
4000,30,50,0.1,0.2,0.2,24.95863151550293,0.02589641511440277,0.002768097911030054,,0.001359570655040443
5000,30,50,0.1,0.2,0.2,20.93944549560547,0.005976095795631409,0.0028170282021164894,,0.001342262141406536
500,15,25,0.01,0.2,0.2,7.720383167266846,0.05976095795631409,0.002679132856428623,,5.2224655519239604e-05
1000,15,25,0.01,0.2,0.2,7.63236665725708,0.06972111761569977,0.0026827952824532986,,5.3497671615332365e-05
2000,15,25,0.01,0.2,0.2,8.085947036743164,0.06175298988819122,0.0027057481929659843,,5.5768083257135004e-05
3000,15,25,0.01,0.2,0.2,8.707405090332031,0.055776894092559814,0.0027214637957513332,,5.847647480550222e-05
4000,15,25,0.01,0.2,0.2,8.461995124816895,0.05179283022880554,0.0027178507298231125,,5.915505244047381e-05
5000,15,25,0.01,0.2,0.2,8.416559219360352,0.043824702501297,0.0027250428684055805,,6.044861220289022e-05
500,30,25,0.01,0.2,0.2,7.264841079711914,0.07968127727508545,0.002654780400916934,,4.9982489144895226e-05
1000,30,25,0.01,0.2,0.2,7.599913597106934,0.0657370537519455,0.0026769486721605062,,5.117206819704734e-05
2000,30,25,0.01,0.2,0.2,8.527606964111328,0.06175298988819122,0.002703496254980564,,5.2932791732018813e-05
3000,30,25,0.01,0.2,0.2,8.706368446350098,0.05776892602443695,0.00269543519243598,,5.334788147592917e-05
4000,30,25,0.01,0.2,0.2,9.285299301147461,0.05776892602443695,0.002713352208957076,,5.468679592013359e-05
5000,30,25,0.01,0.2,0.2,9.38272476196289,0.05378486216068268,0.0027159813325852156,,5.424773917184211e-05
500,15,50,0.01,0.2,0.2,7.029041290283203,0.06772908568382263,0.002673916518688202,,5.524981315829791e-05
1000,15,50,0.01,0.2,0.2,7.019155979156494,0.0717131495475769,0.002654405776411295,,5.158009298611432e-05
2000,15,50,0.01,0.2,0.2,7.098473072052002,0.06972111761569977,0.0026714575942605734,,5.5844448070274666e-05
3000,15,50,0.01,0.2,0.2,7.406642436981201,0.07370518147945404,0.0026656968984752893,,5.4061354603618383e-05
4000,15,50,0.01,0.2,0.2,7.608902454376221,0.05976095795631409,0.002698750700801611,,5.6802877224981785e-05
5000,15,50,0.01,0.2,0.2,7.733602046966553,0.0717131495475769,0.0026857757475227118,,5.9203692217124626e-05
500,30,50,0.01,0.2,0.2,7.358607292175293,0.0657370537519455,0.0026682044845074415,,5.045245779911056e-05
1000,30,50,0.01,0.2,0.2,7.435804843902588,0.06772908568382263,0.002666204934939742,,5.1457478548400104e-05
